id,github_age_in_days,github_in_org,github_in_pade_org,github_personal_paid,status,userAgent,answer-3,answer-9,answer-10,answer-11,answer-12,answer-14,answer-15,answer-45,answer-58,answer-59,answer-60,answer-62,answer-63
1501,161.791365740741,t,f,f,Complete,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:32.0) Gecko/20100101 Firefox/32.0,Experienced programmer,Yes,8,,10 - 50,Project management tools,Yes.,,Open source projects,,Both GitHub.com and GitHub Enterprise,,
1502,40.7387384259259,f,f,f,Complete,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0),Experienced programmer,No,7,,,Help documentation,Yes.,,Open source projects,,,,
1503,"1,289.49306712963",f,f,f,Complete,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36",Experienced programmer,No,8,,,GitHub desktop apps,No thanks!,,My personal portfolio,,,,
1504,32.3515277777778,f,f,f,Complete,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:32.0) Gecko/20100101 Firefox/32.0,Experienced programmer,Yes,5,Understanding it better - although I am guilty of not committing time to get to know it.,< 10,Help documentation,No thanks!,"I got Github and had no clue what the use for it would be.
Pull and commit - sounds cool, but not clearly explained.

",Open source projects,,GitHub.com,,
1505,"1,082.74270833333",f,f,t,Complete,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36",New programmer,No,8,,,Code review,Yes.,,My personal portfolio,,,,
1506,538.689490740741,f,f,f,Complete,"Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53",Experienced programmer,Yes,7,No price for private repo's.,101 - 500,Pricing,Yes.,,Open source projects,,GitHub.com,,Other (please specify)
1507,276.823541666667,f,f,f,Complete,Mozilla/5.0 (X11; Linux x86_64; rv:21.0) Gecko/20100101 Firefox/21.0,Writer,Yes,10,,< 10,Other (please specify),Yes.,,Open source projects,Add the already mentioned rendering of HTML files while browsing a repo.,GitHub.com,,
1508,"1,249.75631944444",t,t,f,Complete,Mozilla/5.0 (X11; Linux x86_64; rv:24.0) Gecko/20100101 Firefox/24.0,Experienced programmer,Yes,10,,10 - 50,User administration tools,No thanks!,,Open source projects,Can't think of anything right now :-),GitHub.com,,
1509,75.5923611111111,f,f,f,Complete,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D201 Safari/9537.53",New programmer,No,10,,,GitHub desktop apps,No thanks!,,My personal portfolio,Brought more deals for students to motivate them ,,,
1510,248.181539351852,f,f,f,Complete,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.101 Safari/537.36",Experienced programmer,No,6,Support mercurial,,Other (please specify),Yes.,,Open source projects,Support Mercurial!,,,
1511,"2,427.55869212963",f,f,f,Complete,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:36.0) Gecko/20100101 Firefox/36.0,Experienced programmer,No,8,,,Code review,No thanks!,,Open source projects,,,,
1512,772.878356481481,f,f,f,Complete,"Mozilla/5.0 (BB10; Kbd) AppleWebKit/537.35+ (KHTML, like Gecko) Version/10.2.1.3247 Mobile Safari/537.35+",Other (please specify),Yes,10,,< 10,GitHub desktop apps,Yes.,"Desktop app windows have some bugs like if you install without .Net first, which don't written and/or translated good.",Social network for developers,"Edit code from nearly every device on the go (blackberry, android) or make it possible to upload a single file so we can use system-default editors and reupload as commiting.",GitHub.com,,
